"태양광발전시설명","소재지도로명주소","가동상태구분명","설비용량(kw)","공급전압(V)","주파수(Hz)","설치연도","데이터기준일자"
"광진 태양광발전소(동부여성발전센터)","서울시 광진구 아차산로30길 36(자양동 9-13, 동부여성발전센터)","가동중","30","380","60","2016","2022-12-02"
"신우 태양광발전소","서울시 성북구 정릉로52길 22(돈암동2-2)","가동중","19.8","380","60","2015","2022-12-02"
"구룡에너지 태양광발전소","서울시 마포구 방울내로 11길 23(망원동 471-18)","가동중","10.8","380","60","2015","2022-12-02"
"한사랑 태양광발전소","서울시 동대문구 장한로28길 56(장안2동 331-9)","가동중","31.8","380","60","2015","2022-12-02"
"한국태양광발전 협동조합(노원집단에너지 관리동)","서울시 노원구 덕릉로70길 99(상계동 772-5, 노원집단에너지시설)","가동중","49","380","60","2015","2022-12-02"
"한국태양발전 협동조합(북부도로사업소)","서울시 강북구 한천로 913(번2동 365-1, 북부도로사업소)","가동중","40.8","380","60","2015","2022-12-02"
"완후 태양광발전소","서울시 동대문구 천장산로7길 8(이문동 264-211)","가동중","15","220","60","2015","2022-12-02"
"독산1동 태양광발전소","서울시 금천구 시흥대로151길 15-11(독산동 147-58)","가동중","9.36","220","60","2015","2022-12-02"
"한성 태양광발전소","서울시 도봉구 노해로63번길 54(창동 328)","가동중","60","380","60","2016","2022-12-02"
"진양 태양광발전소","서울시 노원구 월계로 44길 13(월계동 934)","가동중","20","380","60","2016","2022-12-02"
"그린 태양광발전소","서울시 중구 동호로7길 47-5(신당동 372-435)","가동중","19.2","380","60","2015","2022-12-02"
"성원 태양광발전소","서울시 강동구 올림픽로92길 7(천호동 287-27)","가동중","14.84","220","60","2015","2022-12-02"
"다안 태양광발전소","서울시 마포구 어울마당로 34(상수동 318-2)","가동중","6","220","60","2015","2022-12-02"
"구로햇빛발전소 1호기(구로빗물펌프장)","서울시 구로구 남부순환로 971(개봉동 189)외 1필지, 구로빗물펌프장","가동중","29.76","380","60","2015","2022-12-02"
"강남탄천햇빛발전소(탄천물재생센터)","서울시 강남구 개포로 625길(일원동, 580번지, 탄천물재생센터 제2처리장방류펌프동 옥상)","가동중","49.5","380","60","2015","2022-12-02"
"독산고 시민햇빛발전소","서울시 금천구 문성로 64(독산동 907-34)","가동중","50","380","60","2016","2022-12-02"
"중랑공영차고지 태양광발전소","서울시 중랑구 용마산로140길 51(신내동 63), 중랑공영차고지","가동중","20","380","60","2015","2022-12-02"
